id_gry_turniejowe,tytul_gry
6,Assetto Corsa
2,Battlefield
1,Call of Duty
3,Counter-Strike: Global Offensive
9,Dota 2
10,F1 2016
4,FIFA
5,Gran Turismo
12,Gwint
13,H1Z1: King of the Kill
14,Hearthstone
16,Heroes of Might and Magic 3
17,Heroes of Might and Magic 5
18,Heroes of the Storm
15,League of legends
20,Mortal Kombat
21,Nie dotyczy
22,Overwatch
23,PES
7,Quake Live
8,Rocket League
29,Star Wars Battlefront
19,StarCraft 2
24,Starcraft 2
25,Team Fortress 2
26,Tekken Tag Tournament 2
11,Tom Clancy’s Rainbow Six Siege
27,TrackMania Nations Forever
28,Wiedźmin
30,World of Tanks
31,World of Warcraft
